{'number': 225, 'schoenflies': 'Oh^5', 'international': 'Fm-3m', 'pointgroup_schoenflies': 'Oh', 'pointgroup_international': 'm-3m', 'lattice_type': 'Cubic'}   SnTe   mp-num    N_points: 5000 

         energy                dos          total_dos 
      3.5230000           1.6630000         15.9800000     
      3.5240000           1.6630000         15.9800000     
      3.5260000           1.6620000         15.9900000     
      3.5270000           1.6620000         15.9900000     
      3.5290000           1.6620000         15.9900000     
      3.5310000           1.6620000         15.9900000     
      3.5320000           1.6610000         16.0000000     
      3.5340000           1.6610000         16.0000000     
      3.5350000           1.6610000         16.0000000     
      3.5370000           1.6610000         16.0100000     
      3.5390000           1.6600000         16.0100000     
      3.5400000           1.6600000         16.0100000     
      3.5420000           1.6600000         16.0100000     
      3.5430000           1.6600000         16.0200000     
      3.5450000           1.6600000         16.0200000     
      3.5470000           1.6600000         16.0200000     
      3.5480000           1.6590000         16.0200000     
      3.5500000           1.6590000         16.0300000     
      3.5510000           1.6590000         16.0300000     
      3.5530000           1.6590000         16.0300000     
      3.5550000           1.6590000         16.0300000     
      3.5560000           1.6590000         16.0400000     
      3.5580000           1.6590000         16.0400000     
      3.5590000           1.6590000         16.0400000     
      3.5610000           1.6590000         16.0500000     
      3.5630000           1.6590000         16.0500000     
      3.5640000           1.6590000         16.0500000     
      3.5660000           1.6590000         16.0500000     
      3.5670000           1.6580000         16.0600000     
      3.5690000           1.6580000         16.0600000     
      3.5710000           1.6580000         16.0600000     
      3.5720000           1.6590000         16.0600000     
      3.5740000           1.6590000         16.0700000     
      3.5750000           1.6590000         16.0700000     
      3.5770000           1.6590000         16.0700000     
      3.5790000           1.6590000         16.0700000     
      3.5800000           1.6590000         16.0800000     
      3.5820000           1.6590000         16.0800000     
      3.5830000           1.6590000         16.0800000     
      3.5850000           1.6590000         16.0800000     
      3.5870000           1.6590000         16.0900000     
      3.5880000           1.6600000         16.0900000     
      3.5900000           1.6600000         16.0900000     
      3.5910000           1.6600000         16.1000000     
      3.5930000           1.6600000         16.1000000     
      3.5950000           1.6600000         16.1000000     
      3.5960000           1.6610000         16.1000000     
      3.5980000           1.6600000         16.1100000     
      3.5990000           1.6600000         16.1100000     
      3.6010000           1.6600000         16.1100000     
      3.6030000           1.6600000         16.1100000     
      3.6040000           1.6600000         16.1200000     
      3.6060000           1.6600000         16.1200000     
      3.6070000           1.6600000         16.1200000     
      3.6090000           1.6600000         16.1200000     
      3.6110000           1.6610000         16.1300000     
      3.6120000           1.6610000         16.1300000     
      3.6140000           1.6620000         16.1300000     
      3.6150000           1.6620000         16.1400000     
      3.6170000           1.6630000         16.1400000     
      3.6190000           1.6640000         16.1400000     
      3.6200000           1.6650000         16.1400000     
      3.6220000           1.6660000         16.1500000     
      3.6230000           1.6670000         16.1500000     
      3.6250000           1.6680000         16.1500000     
      3.6270000           1.6690000         16.1500000     
      3.6280000           1.6700000         16.1600000     
      3.6300000           1.6700000         16.1600000     
      3.6310000           1.6700000         16.1600000     
      3.6330000           1.6700000         16.1600000     
      3.6350000           1.6700000         16.1700000     
      3.6360000           1.6700000         16.1700000     
      3.6380000           1.6700000         16.1700000     
      3.6390000           1.6710000         16.1800000     
      3.6410000           1.6710000         16.1800000     
      3.6430000           1.6710000         16.1800000     
      3.6440000           1.6710000         16.1800000     
      3.6460000           1.6710000         16.1900000     
      3.6470000           1.6710000         16.1900000     
      3.6490000           1.6710000         16.1900000     
      3.6510000           1.6720000         16.1900000     
      3.6520000           1.6720000         16.2000000     
      3.6540000           1.6720000         16.2000000     
      3.6550000           1.6720000         16.2000000     
      3.6570000           1.6720000         16.2000000     
      3.6590000           1.6730000         16.2100000     
      3.6600000           1.6730000         16.2100000     
      3.6620000           1.6730000         16.2100000     
      3.6630000           1.6740000         16.2200000     
      3.6650000           1.6750000         16.2200000     
      3.6670000           1.6750000         16.2200000     
      3.6680000           1.6760000         16.2200000     
      3.6700000           1.6770000         16.2300000     
      3.6710000           1.6780000         16.2300000     
      3.6730000           1.6790000         16.2300000     
      3.6750000           1.6800000         16.2300000     
      3.6760000           1.6820000         16.2400000     
      3.6780000           1.6830000         16.2400000     
      3.6790000           1.6840000         16.2400000     
      3.6810000           1.6860000         16.2500000     
      3.6830000           1.6870000         16.2500000     
      3.6840000           1.6890000         16.2500000     
      3.6860000           1.6890000         16.2500000     
      3.6870000           1.6890000         16.2600000     
      3.6890000           1.6890000         16.2600000     
      3.6910000           1.6890000         16.2600000     
      3.6920000           1.6890000         16.2600000     
      3.6940000           1.6890000         16.2700000     
      3.6950000           1.6900000         16.2700000     
      3.6970000           1.6900000         16.2700000     
      3.6990000           1.6900000         16.2700000     
      3.7000000           1.6900000         16.2800000     
      3.7020000           1.6900000         16.2800000     
      3.7030000           1.6900000         16.2800000     
      3.7050000           1.6900000         16.2900000     
      3.7070000           1.6910000         16.2900000     
      3.7080000           1.6910000         16.2900000     
      3.7100000           1.6910000         16.2900000     
      3.7110000           1.6910000         16.3000000     
      3.7130000           1.6910000         16.3000000     
      3.7150000           1.6920000         16.3000000     
      3.7160000           1.6920000         16.3000000     
      3.7180000           1.6920000         16.3100000     
      3.7190000           1.6920000         16.3100000     
      3.7210000           1.6920000         16.3100000     
      3.7230000           1.6930000         16.3200000     
      3.7240000           1.6930000         16.3200000     
      3.7260000           1.6930000         16.3200000     
      3.7270000           1.6930000         16.3200000     
      3.7290000           1.6930000         16.3300000     
      3.7310000           1.6940000         16.3300000     
      3.7320000           1.6940000         16.3300000     
      3.7340000           1.6940000         16.3300000     
      3.7350000           1.6940000         16.3400000     
      3.7370000           1.6940000         16.3400000     
      3.7390000           1.6950000         16.3400000     
      3.7400000           1.6950000         16.3500000     
      3.7420000           1.6950000         16.3500000     
      3.7430000           1.6950000         16.3500000     
      3.7450000           1.6950000         16.3500000     
      3.7470000           1.6950000         16.3600000     
      3.7480000           1.6960000         16.3600000     
      3.7500000           1.6960000         16.3600000     
      3.7510000           1.6960000         16.3600000     
      3.7530000           1.6960000         16.3700000     
      3.7550000           1.6960000         16.3700000     
      3.7560000           1.6970000         16.3700000     
      3.7580000           1.6970000         16.3800000     
      3.7590000           1.6970000         16.3800000     
      3.7610000           1.6970000         16.3800000     
      3.7630000           1.6970000         16.3800000     
      3.7640000           1.6970000         16.3900000     
      3.7660000           1.6970000         16.3900000     
      3.7670000           1.6980000         16.3900000     
      3.7690000           1.6980000         16.3900000     
      3.7710000           1.6980000         16.4000000     
      3.7720000           1.6980000         16.4000000     
      3.7740000           1.6980000         16.4000000     
      3.7750000           1.6980000         16.4000000     
      3.7770000           1.6990000         16.4100000     
      3.7790000           1.6990000         16.4100000     
      3.7800000           1.6990000         16.4100000     
      3.7820000           1.6990000         16.4200000     
      3.7830000           1.6990000         16.4200000     
      3.7850000           1.6990000         16.4200000     
      3.7870000           1.6990000         16.4200000     
      3.7880000           1.6990000         16.4300000     
      3.7900000           1.7000000         16.4300000     
      3.7910000           1.7000000         16.4300000     
      3.7930000           1.7000000         16.4300000     
      3.7950000           1.7000000         16.4400000     
      3.7960000           1.7000000         16.4400000     
      3.7980000           1.7000000         16.4400000     
      3.7990000           1.7000000         16.4500000     
      3.8010000           1.7000000         16.4500000     
      3.8030000           1.7000000         16.4500000     
      3.8040000           1.7010000         16.4500000     
      3.8060000           1.7010000         16.4600000     
      3.8070000           1.7010000         16.4600000     
      3.8090000           1.7010000         16.4600000     
      3.8110000           1.7010000         16.4600000     
      3.8120000           1.7010000         16.4700000     
      3.8140000           1.7010000         16.4700000     
      3.8150000           1.7010000         16.4700000     
      3.8170000           1.7010000         16.4800000     
      3.8190000           1.7010000         16.4800000     
      3.8200000           1.7010000         16.4800000     
      3.8220000           1.7020000         16.4800000     
      3.8230000           1.7020000         16.4900000     
      3.8250000           1.7020000         16.4900000     
      3.8270000           1.7020000         16.4900000     
      3.8280000           1.7020000         16.4900000     
      3.8300000           1.7020000         16.5000000     
      3.8310000           1.7020000         16.5000000     
      3.8330000           1.7020000         16.5000000     
      3.8350000           1.7020000         16.5100000     
      3.8360000           1.7020000         16.5100000     
      3.8380000           1.7030000         16.5100000     
      3.8390000           1.7030000         16.5100000     
      3.8410000           1.7030000         16.5200000     
      3.8430000           1.7030000         16.5200000     
      3.8440000           1.7030000         16.5200000     
      3.8460000           1.7030000         16.5200000     
      3.8470000           1.7030000         16.5300000     
      3.8490000           1.7030000         16.5300000     
      3.8510000           1.7030000         16.5300000     
      3.8520000           1.7030000         16.5400000     
      3.8540000           1.7040000         16.5400000     
      3.8550000           1.7040000         16.5400000     
      3.8570000           1.7040000         16.5400000     
      3.8590000           1.7040000         16.5500000     
      3.8600000           1.7040000         16.5500000     
      3.8620000           1.7040000         16.5500000     
      3.8630000           1.7040000         16.5500000     
      3.8650000           1.7040000         16.5600000     
      3.8670000           1.7040000         16.5600000     
      3.8680000           1.7040000         16.5600000     
      3.8700000           1.7040000         16.5700000     
      3.8710000           1.7040000         16.5700000     
      3.8730000           1.7040000         16.5700000     
      3.8750000           1.7030000         16.5700000     
      3.8760000           1.7030000         16.5800000     
      3.8780000           1.7030000         16.5800000     
      3.8790000           1.7030000         16.5800000     
      3.8810000           1.7020000         16.5800000     
      3.8830000           1.7020000         16.5900000     
      3.8840000           1.7020000         16.5900000     
      3.8860000           1.7010000         16.5900000     
      3.8870000           1.7010000         16.6000000     
      3.8890000           1.7010000         16.6000000     
      3.8910000           1.7000000         16.6000000     
      3.8920000           1.7000000         16.6000000     
      3.8940000           1.7000000         16.6100000     
      3.8950000           1.6990000         16.6100000     
      3.8970000           1.6990000         16.6100000     
      3.8990000           1.6980000         16.6100000     
      3.9000000           1.6980000         16.6200000     
      3.9020000           1.6980000         16.6200000     
      3.9030000           1.6970000         16.6200000     
      3.9050000           1.6970000         16.6300000     
      3.9070000           1.6960000         16.6300000     
      3.9080000           1.6960000         16.6300000     
      3.9100000           1.6960000         16.6300000     
      3.9120000           1.6950000         16.6400000     
      3.9130000           1.6950000         16.6400000     
      3.9150000           1.6940000         16.6400000     
      3.9160000           1.6940000         16.6400000     
      3.9180000           1.6940000         16.6500000     
      3.9200000           1.6930000         16.6500000     
      3.9210000           1.6930000         16.6500000     
      3.9230000           1.6920000         16.6600000     
      3.9240000           1.6920000         16.6600000     
      3.9260000           1.6910000         16.6600000     
      3.9280000           1.6910000         16.6600000     
      3.9290000           1.6900000         16.6700000     
      3.9310000           1.6900000         16.6700000     
      3.9320000           1.6900000         16.6700000     
      3.9340000           1.6890000         16.6700000     
      3.9360000           1.6890000         16.6800000     
      3.9370000           1.6880000         16.6800000     
      3.9390000           1.6880000         16.6800000     
      3.9400000           1.6870000         16.6900000     
      3.9420000           1.6870000         16.6900000     
      3.9440000           1.6860000         16.6900000     
      3.9450000           1.6860000         16.6900000     
      3.9470000           1.6850000         16.7000000     
      3.9480000           1.6850000         16.7000000     
      3.9500000           1.6840000         16.7000000     
      3.9520000           1.6840000         16.7000000     
      3.9530000           1.6830000         16.7100000     
      3.9550000           1.6830000         16.7100000     
      3.9560000           1.6820000         16.7100000     
      3.9580000           1.6810000         16.7100000     
      3.9600000           1.6810000         16.7200000     
      3.9610000           1.6800000         16.7200000     
      3.9630000           1.6800000         16.7200000     
      3.9640000           1.6790000         16.7300000     
      3.9660000           1.6790000         16.7300000     
      3.9680000           1.6780000         16.7300000     
      3.9690000           1.6780000         16.7300000     
      3.9710000           1.6770000         16.7400000     
      3.9720000           1.6760000         16.7400000     
      3.9740000           1.6760000         16.7400000     
      3.9760000           1.6750000         16.7400000     
      3.9770000           1.6750000         16.7500000     
      3.9790000           1.6740000         16.7500000     
      3.9800000           1.6730000         16.7500000     
      3.9820000           1.6730000         16.7600000     
      3.9840000           1.6730000         16.7600000     
      3.9850000           1.6730000         16.7600000     
