{'number': 225, 'schoenflies': 'Oh^5', 'international': 'Fm-3m', 'pointgroup_schoenflies': 'Oh', 'pointgroup_international': 'm-3m', 'lattice_type': 'Cubic'}   SnTe   mp-num    N_points: 5000 

         energy                dos          total_dos 
      3.3120000           1.5190000         15.7300000     
      3.3140000           1.5180000         15.7300000     
      3.3150000           1.5170000         15.7400000     
      3.3170000           1.5160000         15.7400000     
      3.3190000           1.5150000         15.7400000     
      3.3200000           1.5140000         15.7400000     
      3.3220000           1.5130000         15.7500000     
      3.3230000           1.5120000         15.7500000     
      3.3250000           1.5110000         15.7500000     
      3.3270000           1.5090000         15.7500000     
      3.3280000           1.5080000         15.7600000     
      3.3300000           1.5070000         15.7600000     
      3.3310000           1.5060000         15.7600000     
      3.3330000           1.5050000         15.7600000     
      3.3350000           1.5040000         15.7600000     
      3.3360000           1.5030000         15.7700000     
      3.3380000           1.5030000         15.7700000     
      3.3390000           1.5020000         15.7700000     
      3.3410000           1.5020000         15.7700000     
      3.3430000           1.5010000         15.7800000     
      3.3440000           1.5000000         15.7800000     
      3.3460000           1.4990000         15.7800000     
      3.3470000           1.4980000         15.7800000     
      3.3490000           1.4980000         15.7900000     
      3.3510000           1.4980000         15.7900000     
      3.3520000           1.4980000         15.7900000     
      3.3540000           1.4980000         15.7900000     
      3.3550000           1.4980000         15.8000000     
      3.3570000           1.4980000         15.8000000     
      3.3590000           1.4980000         15.8000000     
      3.3600000           1.4980000         15.8000000     
      3.3620000           1.4980000         15.8100000     
      3.3630000           1.5010000         15.8100000     
      3.3650000           1.5110000         15.8100000     
      3.3670000           1.5200000         15.8100000     
      3.3680000           1.5290000         15.8200000     
      3.3700000           1.5380000         15.8200000     
      3.3710000           1.5480000         15.8200000     
      3.3730000           1.5570000         15.8200000     
      3.3750000           1.5650000         15.8300000     
      3.3760000           1.5720000         15.8300000     
      3.3780000           1.5700000         15.8300000     
      3.3790000           1.5700000         15.8300000     
      3.3810000           1.5710000         15.8400000     
      3.3830000           1.5720000         15.8400000     
      3.3840000           1.5740000         15.8400000     
      3.3860000           1.5770000         15.8400000     
